job_id,company_id,title,location,salary_min,salary_max,employment_type,description,posted_date,is_active
1469,878,Pharmacy Analyst,"Morgantown, WV",,,Full-time,"Welcome! We’re excited you’re considering an opportunity with us! To apply to this position and be considered, click the Apply button located above this message and complete the application in full. Below, you’ll find other important information about this position.    The primary focus of the position is to support the operational efficiency of the Pharmacy Department by coordinating fiscal management activities, performing data analysis and maintaining departmental statistics and reports. Data",2024-04-05,true
1470,538,Energy Storage Independent Engineering Project Manager,"San Diego, CA",90000.0,140000.0,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1471,538,Maritime Fleet in Service Summer Intern 2024,"New Orleans, LA",,,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1472,538,Energy Market Analyst,"Dallas, TX",,,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1473,2163,Digital Media Planner,"Detroit, MI",,,Full-time,"ENTRY LEVEL DIGITAL MEDIA APPRENTICE 
Location: On-Site role. You need to currently live within a commutable distance of Detroit, MI 48226
Become a digital media apprentice. No experience needed. Click ""Apply Now"" to register & complete our screening.
What does a Digital Media Apprentice do?Digital Marketing is the promotion of brands via the internet and all connected digital properties and applications. A Digital Media role sits at the center of this industry, managing and optimizing ad placem",2024-04-05,true
1474,1945,Sr. Portfolio Manager,"Hagerstown, MD",,,Full-time,"About JLG, An Oshkosh Company

JLG began in 1969, when our founder, John L. Grove set out to resolve growing safety concerns in the construction industry. Since then we have been committed to understanding the challenges and delivering innovative solutions to the access market. We partner with customers to provide quality equipment, training opportunities and trusted support within the access industry. We are a global company, and our products—including mobile elevating work platforms, telehandl",2024-04-05,true
1475,878,Card Sonographer II,"Morgantown, WV",,,Full-time,"Welcome! We’re excited you’re considering an opportunity with us! To apply to this position and be considered, click the Apply button located above this message and complete the application in full. Below, you’ll find other important information about this position.    Performs advanced Cardiac Ultrasound procedures in order to facilitate appropriate diagnosis and treatment of patients.  
MINIMUM QUALIFICATIONS: 
EDUCATION, CERTIFICATION, EXPERIENCE, AND/OR LICENSURE: 
1. Graduate of a Echocardi",2024-04-05,true
1476,538,Food & Beverage Business Development Manager,"Houston, TX",,,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1477,538,Food and Beverage Lead Auditor,"Houston, TX",,,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1478,538,Energy Engineer,"Detroit, MI",,,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1479,538,Energy Engineer,"Las Vegas, NV",,,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1480,538,Business Developer,"Austin, TX",,,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1481,538,GTH AS Administrative Technical Reviewer,"Houston, TX",,,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1482,538,"Senior Project Manager, Solar Independent Engineering","Oakland, CA",120000.0,155000.0,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1483,1239,FT-Temporary-CUSTODIAN 12 MONTH_SYLVANIA HEIGHTS ELE(1544100),"Miami, FL",,,Contract,"Miami-Dade County Public Schools (M-DCPS), an A-rated district, is the nation’s third largest school system with nearly 500 schools and a diverse enrollment of more than 335,500 students from over 160 countries. Our ongoing tradition of groundbreaking achievement has earned top recognition at the national and international levels and makes M-DCPS your best choice.

We encourage you to submit/upload to your applicant profile attachments section any of the following documentation:

 Resume  Cover ",2024-04-05,true
1484,538,Contracts Advisor,"Houston, TX",,,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1485,2399,Electrical Engineer,"Columbus, OH",,,Full-time,"Overview

WHY THIS JOB IS IMPORTANT

Our automotive and manufacturing clients are operating globally with ever-increasing competition. We’re looking for an Electrical Engineer who will work with our automotive and manufacturing teams to help our clients gain a competitive advantage through innovative process and systems design.

Responsibilities

A TYPICAL DAY MIGHT INCLUDE:

ENGINEERING LEADERSHIP

 Delivering quality designs on manufacturing and automotive projects to help ensure we are delive",2024-04-05,true
1486,878,Office Facilitator Perioperative Services,"Parkersburg, WV",,,Full-time,"Welcome! We’re excited you’re considering an opportunity with us! To apply to this position and be considered, click the Apply button located above this message and complete the application in full. Below, you’ll find other important information about this position.    Under minimal supervision provides administrative, secretarial and clerical support to the Business Manager and Executive Director. Ensure harmonious interaction with staff members. Ensure overall patient experience satisfaction.
",2024-04-05,true
1487,878,UHC Patient Care Tech Non Cert 6 South,"Bridgeport, WV",,,Full-time,"Welcome! We’re excited you’re considering an opportunity with us! To apply to this position and be considered, click the Apply button located above this message and complete the application in full. Below, you’ll find other important information about this position.    This position performs nonprofessional direct and indirect patient care activities including personal, physical and comfort needs of patients, under the supervision of a registered professional nurse. This position will provide hi",2024-04-05,true
1488,878,Supportive Counselor I,"Charleston, WV",,,Full-time,"Welcome! We’re excited you’re considering an opportunity with us! To apply to this position and be considered, click the Apply button located above this message and complete the application in full. Below, you’ll find other important information about this position.    This position serves as a personal guide, and liaison for individuals with substance use disorders identified in WVU Medicine affiliated treatment settings. The recovery coach supports patients by assisting them with identifying t",2024-04-05,true
1489,878,Medical Technologist Generalist,"Morgantown, WV",,,Full-time,"Welcome! We’re excited you’re considering an opportunity with us! To apply to this position and be considered, click the Apply button located above this message and complete the application in full. Below, you’ll find other important information about this position.    Perform and analyze clinical laboratory tests in all laboratory disciplines by standard operating policies and procedures. Understand method principles, perform quality control, perform preventative maintenance, review, and analyz",2024-04-05,true
1490,538,Assistant Program Director,"Phoenix, AZ",,,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1491,538,Senior Energy Efficiency Engineer,"Detroit, MI",,,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1492,538,Electrical Engineer Offshore Wind,"Houston, TX",,,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1493,538,Senior Electrical Engineer - Wind onshore/offshore,"Oakland, CA",110000.0,135000.0,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1494,538,"Senior Project Manager, Solar Independent Engineering","Dallas, TX",120000.0,155000.0,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1495,538,"Auditor / Lead Auditor – ISO 13485, MDSAP, MDR 2017/745","Medford, MA",90000.0,170000.0,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1496,538,Product Manager,"Oakland, CA",90000.0,125000.0,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1497,538,Power System Study Engineer,"Oak Brook, IL",70000.0,120000.0,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1498,800,Faculty Group Practice Nurse Supervisor - Howard Beach**,"New York, New York, United States",94323.65,125000.0,Full-time,"1126242_RR00090338 Job ID: 1126242_RR00090338

NYU Grossman School of Medicine is one of the nation's top-ranked medical schools. For 175 years, NYU Grossman School of Medicine has trained thousands of physicians and scientists who have helped to shape the course of medical history and enrich the lives of countless people. An integral part of NYU Langone Health, the Grossman School of Medicine at its core is committed to improving the human condition through medical education, scientific researc",2024-04-05,true
1499,2163,Entry Level Digital Media Planner,"Philadelphia, PA",,,Full-time,"DIGITAL MEDIA APPRENTICE 
Become a digital media apprentice. No experience needed. Click ""Apply Now"" to register & complete our screening.
What does a Digital Media Apprentice do?Digital Marketing is the promotion of brands via the internet and all connected digital properties and applications. A Digital Media role sits at the center of this industry, managing and optimizing ad placements & campaigns across channels. They use their deep knowledge of leading platforms like Google, The Trade Desk ",2024-04-05,true
1500,493,University Legal Counsel,"Madison, WI",,,Full-time,"Job Summary:

The UW-Madison Office of Legal Affairs (OLA) is comprised of 15 in-house attorneys who provide legal advice and representation on the wide range of complex and highly specialized legal issues affecting the research-intensive and flagship campus of the Universities of Wisconsin. The Senior University Legal Counsel (Attorney III), University Legal Counsel (Attorney II), or Associate University Legal Counsel (Attorney I) position is a professional, academic staff position in OLA. The ",2024-04-05,true
1501,1720,Product Solutions Developer,"Nashville, TN",,,Full-time,"Job Details

Job Location

Nashville TN Corporate Office - Nashville, TN

Remote Type

Hybrid

Position Type

Full Time

Education Level

4 Year Degree

Travel Percentage

Negligible

Job Shift

Day

Job Category

Technology Services

Description

As the #1 advisor for developing and empowering people to deliver the highest quality care, HealthStream’s brands include best-in-class apps, software, and specialized solutions. Over the last 30+ years, our Company has remained committed to solving bi",2024-04-05,true
1502,1720,Customer Service Specialist I,"Nashville, TN",,,Full-time,"Job Details

Job Location

USA Remote - Nashville, TN

Remote Type

Fully Remote

Position Type

Full Time

Education Level

4 Year Degree

Travel Percentage

Negligible

Job Shift

Day

Job Category

Customer Service/Support

Description

As the #1 advisor for developing and empowering people to deliver the highest quality care, HealthStream’s brands include best-in-class apps, software, and specialized solutions. Over the last 30+ years, our Company has remained committed to solving big proble",2024-04-05,true
1503,2533,Executive Business Consultant,"Atlanta, GA",100.0,124.0,Contract,"Duration: 8 months contract
Employment Type: W-2
Description:· Consistently makes, safety and security, of self and others, the priority.· Extensive knowledge of HR processes and data integration architecture (preferred: High level of proficiency in Features/Functions, End-to-end Configuration and/or Dev experience, and integration experience).· Leverage expertise to effectively communicate and collaborate cross-functionally (e.g., HR, HRSD, HRIT, Divisional IT, Divisional Customers) throughout ",2024-04-05,true
1504,2163,Account Executive (Hire-Train-Deploy /Workforce Sales Experience),United States,110000.0,125000.0,Full-time,"Account Executive, Talent Stream 
About CatalyteCatalyte is on a mission to empower every person and every organization to achieve more. Today, we use AI to help medium and large organizations in North America to grow their business by making it easy for them to hire job-ready, diverse talent for digital and technical roles and projects. We are rewiring the talent market and have established a strong leading position, serving world-class companies. 
Summary The Talent Stream Account Executive wi",2024-04-05,true
1505,878,Physician - Pulmonary Critical Care,"Uniontown, PA",,,Full-time,"Welcome! We’re excited you’re considering an opportunity with us! To apply to this position and be considered, click the Apply button located above this message and complete the application in full. Below, you’ll find other important information about this position.      
WVUHS Medical Group seeks a Pulmonary Critical Care Physician. The successful candidate will practice in the primary location of Uniontown, PA. 
 
Duties: The successful candidate will practice in the area of Pulmonary Critical",2024-04-05,true
1506,538,Energy Engineer,"Las Vegas, NV",,,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1507,538,ISO 9001/14001/45001 Integrated Lead Auditor,"Houston, TX",,,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1508,538,Energy Efficiency Engineer,"Albuquerque, NM",,,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1509,1882,Field Applications Engineer - Midwestern Region,"Farmington Hills, MI",,,Full-time,"Description

 As a FAE working closely with the Sales team, you are a critical partner in participating in customer meetings demonstrating OmniVision's products and supporting sales in closing deals. 

Responsibilities

 Provides technical expertise through sales presentations and product demonstrations  Works with sales team in assessing potential application of OmniVision products to meet customer needs and preparing detailed product specifications for development and implementation of custome",2024-04-05,true
1510,2495,AWS SUBJECT MATTER EXPERT - REMOTE,United States,,,Contract,"AWS ENGINEER / SME100% REMOTEMust meet Citizenship requirement's to possibly obtain a clearance

Key responsibilities:Provide operations, maintenance, and end-to-end infrastructure support for client environments.Setup, configuration, operations, and maintenance of environment for new or existing systems and applications hosted in the client cloudContinuous configuration and tuning of AWS Tools to proactively monitor the environments and services to ensure all SLAs are met or exceeded, and perfo",2024-04-05,true
1511,1945,Assembler,"Butner, NC",,,Full-time,"About JLG, An Oshkosh Company

JLG began in 1969, when our founder, John L. Grove set out to resolve growing safety concerns in the construction industry. Since then we have been committed to understanding the challenges and delivering innovative solutions to the access market. We partner with customers to provide quality equipment, training opportunities and trusted support within the access industry. We are a global company, and our products—including mobile elevating work platforms, telehandl",2024-04-05,true
1512,538,Senior Power System Study Engineer,"Oakland, CA",120000.0,180000.0,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1513,538,Contract Support Manager,"Houston, TX",,,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1514,538,"Associate Project Manager, Solar Independent Engineering","San Diego, CA",80000.0,120000.0,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1515,538,Client Service Specialist,"Houston, TX",,,Full-time,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transforma",2024-04-05,true
1516,130,Automation Specialist,"Rocky Mount, NC",,,Contract,"Our client, Pharma Industry is seeking an Automation Technician to join their team. As an Automation Technicianyou will be part of the manufacturing team. The ideal candidate will have to modify and install electrical and control systems to correct issues, enhance performance, and complete corrective activities, use electrical testing equipment including multi-meters, clamp-on current meters, meggers etc. in a safe manner to troubleshoot issues and read and follow equipment schematics, logic dia",2024-04-05,true
1517,1239,PT CUSTODIAN 12 MONTH_VAN E. BLANTON ELEME(1040100),"Miami, FL",,,Contract,"Miami-Dade County Public Schools (M-DCPS), an A-rated district, is the nation’s third largest school system with nearly 500 schools and a diverse enrollment of more than 335,500 students from over 160 countries. Our ongoing tradition of groundbreaking achievement has earned top recognition at the national and international levels and makes M-DCPS your best choice.

We encourage you to submit/upload to your applicant profile attachments section any of the following documentation:

 Resume  Cover ",2024-04-05,true
1518,800,Ambulatory Care Nurse - NYU Langone Ambulatory Care Garden City - Pulmonary,"Garden City, NY",,,Full-time,"1126237_RR00090070 Job ID: 1126237_RR00090070

NYU Langone Hospital-Long Island is a 591-bed university-affiliated medical center, which offers sophisticated diagnostic and therapeutic care in virtually every specialty and subspecialty of medicine and surgery. We are a major regional healthcare resource with a deep commitment to medical education and research, offering a full complement of inpatient and outpatient services. At NYU Langone Health, equity, diversity, and inclusion are fundamental ",2024-04-05,true
1519,1105,Branch Banking-Client Consultant I-Float,"New York, New York, United States",,,Full-time,"Position Title

Branch Banking-Client Consultant I-Float

Location

Starrett City - 078 (Brooklyn, NY)

Job Summary

A Branch Banking-Client Consultant I - Float travels between assigned branches in order to provide customers with high quality, prompt, and professional financial services. Responsible for interacting with clients and providing exceptional service by greeting them as they enter one of our branches and providing them with the services needed to meet their financial goals. This role",2024-04-05,true
1520,1965,HR Compliance Specialist (Remote),United States,,,Full-time,"Description

American Specialty Health Incorporated is seeking a Specialist - HR Compliance to join our Human Resources (HRS) department. This position will oversee HR Compliance, lead HR audit efforts, oversee the Immigration Process and create and maintain standard operating procedures (SOPs).

Salary Range

American Specialty Health complies with state and federal wage and hour laws and compensation depends upon candidate’s qualifications, education, skill set, years of experience, and intern",2024-04-05,true
1521,2117,Broadcast AV Presentation Systems Lead,"Los Angeles, CA",,,Full-time,"The Los Angeles Clippers and Inuit Dome are actively seeking a creative, passionate, and experienced Broadcast Presentation Systems Lead to support our new home, Intuit Dome. The Broadcast Presentation Systems Lead will support all live productions by serving as the onsite expert in operation of the Daktronics System. Helping in system management, prep, and game / event day operation of systems.

The ideal candidate will bring deep subject matter knowledge of Daktronics, signage control software",2024-04-05,true
1522,800,Medical Assistant - NYU Langone Ambulatory Care Garden City - Womens Health,"Garden City, NY",52468.0,55616.08,Full-time,"1126233_RR00090316 Job ID: 1126233_RR00090316

NYU Langone Hospital-Long Island is a 591-bed university-affiliated medical center, which offers sophisticated diagnostic and therapeutic care in virtually every specialty and subspecialty of medicine and surgery. We are a major regional healthcare resource with a deep commitment to medical education and research, offering a full complement of inpatient and outpatient services. At NYU Langone Health, equity, diversity, and inclusion are fundamental ",2024-04-05,true
1523,2163,Digital Media Planner - Entry Level,"Bronx, NY",16.0,19.24,Full-time,"DIGITAL MEDIA APPRENTICE 
Location: On-Site role. You need to currently live within a commutable distance of New York, NY 10014
Become a digital media apprentice. No experience needed. Click ""Apply Now"" to register & complete our screening.
What does a Digital Media Apprentice do?Digital Marketing is the promotion of brands via the internet and all connected digital properties and applications. A Digital Media role sits at the center of this industry, managing and optimizing ad placements & camp",2024-04-05,true
1524,1742,Archaeological Technician (On-Call),"Los Angeles, CA",,,Full-time,"Job Description

 Take Your Career to the Next Level 

Are you ready to be challenged, make a difference, and experience professional growth in your career? Kleinfelder is looking for you!

Step into Your New Role

Kleinfelder is seeking archaeological technicians to support with public and private sector project, throughout California. The individual will assist on an as-needed basis for field survey, site recordation, monitoring, and technical reports. Specifically, seeking individuals located",2024-04-05,true
1525,2163,Digital Media Apprentice -  Entry Level,"Chicago, IL",15.8,19.24,Full-time,"DIGITAL MEDIA APPRENTICE 
Location: On-Site role. You need to currently live within a commutable distance of Chicago, IL 60601
Become a digital media apprentice. No experience needed. Click ""Apply Now"" to register & complete our screening.
What does a Digital Media Apprentice do?Digital Marketing is the promotion of brands via the internet and all connected digital properties and applications. A Digital Media role sits at the center of this industry, managing and optimizing ad placements & campa",2024-04-05,true
1526,130,Environmental Sustainability Intern,"Northbrook, IL",,,Contract,"Job Description: Environmental Sustainability Intern (June through August, 2024) 

Overview

The Environmental Sustainability Intern will assist the team in essential activities related to calculating the company’s global renewable energy use. They will be involved in collecting data, researching regional electricity grid data and calculating the renewable energy mix across the global owned and leased sites. Responsibilities may also involve the evaluation of energy-related programs to increase ",2024-04-05,true
1527,1512,Direct Sales Representative - PL,"Stevens Point, WI",,,Full-time,"Sentry Insurance is seeking a highly motivated, self-starter with strong organizational skills to join our team of insurance agents. This team focuses on incoming sales calls for our Motorcycle lines written through Harley Davidson Insurance.

Our call center is open from Monday through Saturday, 7am-11pm CST, and Sunday from 8am – 7pm CST. As an insurance agent, your flexibility to work within these hours is a key factor to the department’s success.

Take the sales skills you have acquired over",2024-04-05,true
1528,1512,Executive Sous Chef,"Stevens Point, WI",,,Full-time,"Muse is a blend of artful experiences that range from our culinary presentation and service, to the colorful wine collection and craft-made cocktails, all married with a cultural, art–filled environment. Together, it sets the tone for a unique dining experience for Stevens Point and central Wisconsin.

Muse is currently seeking a talented and experienced individual to join the team as an Executive Sous Chef. If you have a passion for cooking, leading the kitchen, and have excellent communication",2024-04-05,true
1529,1105,Executive Administrative Assistant,"Troy, MI",,,Full-time,"Position Title

Executive Administrative Assistant

Location

Headquarters-Troy, MI

Job Summary

This position is responsible for enhancing the Executive’s effectiveness by providing information management support, administrative support and organizational support to the executive. This position will be responsible for handling a wide range of administrative and executive support related tasks working independently and with little or no supervision. This position will interact with staff (at al",2024-04-05,true
1530,2163,Digital Media Planner - Entry Level,"Philadelphia, PA",7.25,19.24,Full-time,"DIGITAL MEDIA APPRENTICE 
Location: On-Site role. You need to currently live within a commutable distance of Philadelphia, PA 19107
Become a digital media apprentice. No experience needed. Click ""Apply Now"" to register & complete our screening.
What does a Digital Media Apprentice do?Digital Marketing is the promotion of brands via the internet and all connected digital properties and applications. A Digital Media role sits at the center of this industry, managing and optimizing ad placements & ",2024-04-05,true
1531,366,Administrative Assistant Associate - Legal,"Riverview, FL",,,Full-time,"Join Forbes’ 2023 Best Employer for Diversity!

As an administrative assistant associate on our House Counsel Legal team, your role will be key to ensuring our office runs efficiently. Your primary focus will be the processing of steadily incoming electronic and physical mail – which will include scanning and storing electronic copies of sensitive legal documents typically crucial to legal cases. Often dealing with tight deadlines, sharp attention to detail and strong time management skills will",2024-04-05,true
1532,2524,Entry Level Utility Locator/SUE Technician,"Pittsburgh, PA",,,Full-time,"Overview

Join us as we Rise to the Challenge

At KCI, we’re building an enduring community that provides unparalleled value to our employee-owners. We make our mark designing and delivering our world-class solutions, so we invest deeply in supporting and developing our team. We reward integrity and commitment, and when we do well, you do well. Our employees have the freedom to innovate, unlimited growth, a voice that matters, a lifestyle that works, and skin in the game. Achievements are shared",2024-04-05,true
1533,1742,Construction Manager,"Rocky Hill, CT",,,Full-time,"Job Description

 Take Your Construction Career to the Next Level! 

Are you ready to be challenged, make a difference, and experience professional growth in your career? Kleinfelder's Construction Services team is looking for you! From construction management and observation/inspection services to laboratory testing and materials and forensic engineering, our Construction Services market helps to develop and maintain America's infrastructure and supply chain and is a recognized industry leader ",2024-04-05,true
1534,101,"Food Service Worker - Clinical Food Services (0.5 FTE, Rotating)","Palo Alto, CA",,,Part-time,"United Health Workers

0.5 FTE, 8 Hour Rotating Shift

At Stanford Children’s Health, we know world-renowned care begins with world-class caring. That's why we combine advanced technologies and breakthrough discoveries with family-centered care. It's why we provide our caregivers with continuing education and state-of-the-art facilities, like the newly remodeled Lucile Packard Children's Hospital Stanford. And it's why we need caring, committed people on our team - like you. Join us on our missi",2024-04-06,true
1535,130,Senior ESH Specialist - Air,"East St Louis, IL",,,Full-time,"Overview

Senior EHS Specialist will be responsible for managing aspects of site EHS programs - including assisting with Air Compliance, and to some extent other areas (as needed)- identifying, implementing EHS programs, improving compliance tools and strengthening overall site performance. Position works to ensure compliance with US EPA, IEPA and local regulations.

Responsibilities

RESPONSIBILITIES:

Create and implement environmental and regulatory compliance programs that meet applicable re",2024-04-05,true
1536,959,Process Engineer,"Tulsa, OK",,,Full-time,"Job Description And Requirements

Process Engineer

Create value at TC Transcontinental.

At TC Transcontinental, we’ve got it made, and that's because of the expertise of our team. Transcontinental Packaging is currently seeking a Process Engineer for our Tulsa, OK plant. The Process Engineer will be part of our team responsible for the systematic approach to process improvements by driving root cause analysis activities, recommend improvements in production methods and participate in continuou",2024-04-05,true
